time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-03-03 08:26:59.832 UTC, , , , , , , , , ,125,3161397,15544, , ,3, ,13, , , , , , , , , ,3,3, , , , ,1,3, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,381488242688,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1377,11,11,5,11, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,1,2,30952448,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-03-03 08:27:59.839 UTC, , , , , , ,2, , ,125,8245157,5099304, , ,295, ,237263, , , , , , , , , ,295,9, , , ,152,1,5, ,3644, , , , , , , , , , , ,67655, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,125,170,95181976,3, , , , , , , , , , ,3, ,19, , , , , , , , , , , , , , , , , , , , , , ,1784, ,24686, ,3634,99307,112249, , , , , , , , , , 
2023-03-03 08:28:59.842 UTC, , , , , , , , , ,125,15881541,12735688, , ,695, ,297130, , , , , , , , , ,695,14, , , ,204,1,4, ,2766, , , , , , , , , , , ,297042, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,155,173,82428240,3, , , , , , , , , , ,3, ,20, , , , , , , , , , , , , , , , , , , , , , ,1350, ,37048, ,2754,99215,160174, , , , , , , , , , 
2023-03-03 08:29:59.848 UTC, , , , , , , , , ,125,46799093,43653240, , ,2508, ,712639, , , , , , , , , ,2508,34, , , ,183,1,4, ,2662, , , , , , , , , , , ,712539, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,130,187,207465536,2, , , , , , , , , , ,2, ,21, , , , , , , , , , , , , , , , , , , , , , ,1300, ,156726, ,2652,138198,415587, , , , , , , , , , 
2023-03-03 08:30:59.854 UTC, , , , , , , , , ,125,81486677,78340824, , ,4460, ,737834, , , , , , , , , ,4460,57, , , ,164,1,4, ,2458, , , , , , , , , , , ,737752, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,154,235,226932736,2, , , , , , , , , , ,3, ,18, , , , , , , , , , , , , , , , , , , , , , ,1200, ,168308, ,2448,140868,426430, , , , , , , , , , 
2023-03-03 08:31:59.857 UTC, , , , , , , , , ,125,115664845,112518992, , ,6435, ,728778, , , , , , , , , ,6435,76, , , ,144,1,4, ,2357, , , , , , , , , , , ,728697, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,237,317,261692568,3, , , , , , , , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , ,1150, ,167735, ,2346,133521,425279, , , , , , , , , , 
2023-03-03 08:32:59.864 UTC, , , , , , , , , ,125,134406645,131260792, , ,7521, ,506908, , , , , , , , , ,7521,96, , , ,121,1,4, ,3069, , , , , , , , , , , ,506781, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,173,238,326247520,4, , , , , , , , , , , , ,23, , , , , , , , , , , , , , , , , , , , , , ,1500, ,91206, ,3060,126013,288220, , , , , , , , , , 
2023-03-03 08:33:59.869 UTC, , , , , , , , , ,125,152453117,149307264, , ,8589, ,482693, , , , , , , , , ,8589,106, , , ,104,1,4, ,2559, , , , , , , , , , , ,482604, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,178,238,320025192,3, , , , , , , , , , ,4, ,17, , , , , , , , , , , , , , , , , , , , , , ,1250, ,86895, ,2550,106473,287978, , , , , , , , , , 
2023-03-03 08:34:59.894 UTC, , , , , , , , , ,125,155243717,152097864, , ,8767, ,232509, , , , , , , , , ,8767,107, , , ,82,1,4, ,2968, , , , , , , , , , , ,232393, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,100,140,398420672,2, , , , , , , , , , ,4, ,22, , , , , , , , , , , , , , , , , , , , , , ,1450, ,15977, ,2958,73111,142887, , , , , , , , , , 
2023-03-03 08:35:59.904 UTC, , , , , , , , , ,125,155240293,152094440, , ,8771, ,170222, , , , , , , , , ,8771,107, , , ,64,1,4, ,2766, , , , , , , , , , , ,170146, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,86,105,340502568,2, , , , , , , , , , ,2, ,18, , , , , , , , , , , , , , , , , , , , , , ,1350, ,1978, ,2754,69995,97985, , , , , , , , , , 
2023-03-03 08:36:59.911 UTC, , , , , , , , , ,125,155023621,151877768, , ,8769, ,174197, , , , , , , , , ,8769,107, , , ,53,1,4, ,2867, , , , , , , , , , , ,174140, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,91,106,384881136,2, , , , , , , , , , ,2, ,11, , , , , , , , , , , , , , , , , , , , , , ,1400, ,983, ,2856,71097,101916, , , , , , , , , , 
2023-03-03 08:37:59.918 UTC, , , , , , , , , ,125,154961173,151815320, , ,8767, ,195609, , , , , , , , , ,8767,107, , , ,42,1,4, ,2459, , , , , , , , , , , ,195560, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,106,127,405135168,2, , , , , , , , , , ,1, ,11, , , , , , , , , , , , , , , , , , , , , , ,1200, ,1636, ,2448,62954,130842, , , , , , , , , , 
2023-03-03 08:38:59.926 UTC, , , , , , , , , ,125,154758669,151612816, , ,8772, ,215117, , , , , , , , , ,8772,106, , , ,30,1,4, ,2967, , , , , , , , , , , ,215066, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,118,115,380884328,1, , , , , , , , , , ,2, ,11, , , , , , , , , , , , , , , , , , , , , , ,1450, ,1075, ,2958,66582,147242, , , , , , , , , , 
2023-03-03 08:39:59.933 UTC, , , , , , , , , ,125,154621981,151476128, , ,8770, ,204264, , , , , , , , , ,8770,106, , , ,19,1,4, ,2764, , , , , , , , , , , ,204208, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,117,119,356059280,1, , , , , , , , , , ,1, ,11, , , , , , , , , , , , , , , , , , , , , , ,1350, ,1401, ,2754,62566,140100, , , , , , , , , , 
2023-03-03 08:40:59.945 UTC, , , , , , , , , ,125,154460717,151314864, , ,8768, ,204181, , , , , , , , , ,8768,106, , , ,8,1,4, ,2865, , , , , , , , , , , ,204100, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,121,126,388544864,3, , , , , , , , , , ,2, ,11, , , , , , , , , , , , , , , , , , , , , , ,1400, ,1260, ,2856,61388,141284, , , , , , , , , , 
2023-03-03 08:41:59.957 UTC, , , , , , , , , ,125,154485437,151339584, , ,8773, ,203621, , , , , , , , , ,8773,106, , , , ,1,4, ,1775, , , , , , , , , , , ,204688, , ,1377,1,744,744, , , , ,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,126,130,363921896,3, , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , ,866, ,1433, ,1766,61194,138672, , , , , , , , , , 
2023-03-03 08:42:51.390 UTC, , , , , , , , , ,625700,125147732,121376304, , ,8777, ,21118, , , , , , , , , ,8777,106, , , , ,8774,4, ,12, , , , , , , , , , , ,23357, , ,1377,2,20027713,744,1, ,4705,4764,1427,381488242688,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1677832019667,,, , , , , , , , , ,3145728,81609091312,9,9,7,9, ,1755, ,1, ,40,1, ,3,21, , , , , ,722,19, , , ,43008,21,194637598,197, , , ,1, , ,19,25,420708592,3, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,316, , ,5057,11174, , , , , , , , , , 
